,note,associated_genders,text,id
0,,Masculine,"['Also in 1896 he married Ellen Milne McCulloch.', 'men', '""Beauty Prizewinner"" shows Miss Elizabeth Heitmuller who was awarded the £400 golden apple', 'men', 'men']","[4913, 52151, 52289, 53472, 59241]"
1,,Multiple,"['Letters to Florence Jewel Baillie from her mother, Florence Fowler, covering personal, family and social matters']",[1205]
2,,Unclear,['a man'],[57896]
3,"""he had his sons"" rather than ""they had their sons,"" as if the sons belong to the father and not the mother",Multiple,"['married Annie Macpherson, by whom he had his sons John, Donald Macpherson and Peter']",[3447]
4,"a woman ""acted as"" rather than was a clinical clerk, despite all the qualifications listed for her",Multiple,['acted as a'],[13554]
5,"a woman's role simply defined in relation to her husband (""as his wife"") rather than having a role in her own right",Multiple,"[""Following John Baillie's appointment as Moderator of the General Assembly of the Church of Scotland in 1942, Florence Jewel Baillie attended Assembly and related events and meetings as his wife""]",[4208]
6,"assumption of male as default - women's diseases need their own subject, but not men's diseases",Multiple,['Diseases of Women'],[44023]
7,"assumption of male as default; diseases specific to women need to be called out (more information needed, but likely there wasn't a ""diseases of men"" class)",Multiple,['Diseases of Women'],[23361]
8,assumption that the woman's role in reproduction is to be a vessel,Multiple,['by whom he had his sons'],[3449]
9,attire associated with only one gender (women),Feminine,['a woman in a bikini'],[68272]
10,attire associated with only one gender (women),Multiple,['the dress worn by women'],[60022]
11,binary gender,Multiple,['male and female'],[51993]
12,biographical information for a woman only about her family,Multiple,"['Florence Jewel Baillie corresponded extensively with members of the extended Fowler and Pearse families and with many friends and associates throught her life. Family included, in particular, her father and mother (Richard and Florence Fowler) her sister Mai.']",[3978]
13,blaming difficulty keeping career going on being a young woman with children,Multiple,['As a young married woman with two small children - Kathleen and Margaret - she found it difficult to keep her medical career going'],[13659]
14,can one really say from looking at a photograph that all five people are females?,Multiple,['five unidentified females'],[14480]
15,can one really say from looking at a photograph that the people depicted are females?,Multiple,['female'],[14956]
16,can we really determine gender from a photograph?,Feminine,['woman'],[7454]
17,can we really say gender of a person based on a photograph?,Feminine,['woman'],[16189]
18,can we really say gender of a person based on a photograph?,Masculine,"['man', 'men', 'men', 'men', 'man', 'man', 'man', 'men', 'man']","[16032, 16048, 16058, 16064, 16073, 16177, 16212, 16226, 16233]"
19,can we really say sex of a person based on a photograph?,Masculine,['males'],[14799]
20,can we really say sex of a person based on a photograph?,Multiple,"['female', 'female', 'female', 'females']","[14645, 14651, 14791, 16166]"
21,chair named after man,Unclear,['Sir William Fraser Chair'],[49789]
22,"collection of a single person, presumably a man, referred to by person's last name",Masculine,"['The Sprigge collection', 'The Sprigge collection']","[25256, 25278]"
23,"couldn't jewel have had the same interests as her husband, rather than taking an interest in his interests?  more information needed",Multiple,"[""Jewel took an active interest in her husband's work, accompanying when he travelled, sitting on charitable committees, looking after missionary furlough houses and much more. She also wrote a preface to his Baptism and Conversion and a foreward to his A Reasoned Faith""]",[3755]
24,demeaning description of woman,Feminine,['A Pretty Equestrienne'],[51069]
25,demeaning towards women,Feminine,['Bringing a Harem to Texas'],[53977]
26,derogatory description of woman,Multiple,['Mrs Hart spends guineas on dross and marks it in her book for education'],[27456]
27,derogatory language,Unclear,['Woman Hater'],[51077]
28,derogatory phrase,Unclear,['Woman Hater'],[53513]
29,diminutive/nickname for woman's first name,Feminine,"['Lotte', 'Lotte']","[31698, 31723]"
30,"diseases of females need to be called out into separate class, rather than worked into all classes",Multiple,['Diseases peculiar to Females'],[25537]
31,excessive feminization,Unclear,"['Negrette', 'authoress']","[59470, 77130]"
32,"excessive feminization, assumption of male default",Multiple,['Shepherdess'],[12094]
33,"excessive feminization, assumption of male defaults",Masculine,['Instructresses'],[14428]
34,expectation of what a young lady of this period would read,Multiple,['not normally associated'],[49496]
35,family described as belonging to a man,Masculine,['the family of Robert Nutter Campbell'],[27476]
36,family described as belonging to a single person who is presumably a man,Unclear,['family of'],[47700]
37,"father named first, mother second, despite her superior historical and contextual importance",Multiple,"[""daughter of lawyer Dr. Richard Pankhurst and women's suffrage movement leader Emmeline Pankhurst""]",[77186]
38,female labour on behalf of husband goes unpaid and not properly credited,Multiple,"[""Jewel took an active interest in her husband's work, accompanying when he travelled, sitting on charitable committees, looking after missionary furlough houses and much more""]",[3753]
39,female parent prioritised,Multiple,"['her three sons, John, Donald Macpherson and Peter', 'her unmarried son, Donald']","[4123, 4145]"
40,focus on woman's sexuality,Feminine,['Virgin'],[47857]
41,form of address characteristic of male homosocial group bonding,Masculine,['The Very Rev Prof James Whyte'],[0]
42,g,Masculine,['men'],[15148]
43,gender assumed,Feminine,"['woman', 'woman', 'woman', 'woman', 'woman', 'woman', 'woman', 'woman', 'woman', 'women', 'womwn', 'women', 'woman', 'woman', 'woman', 'Tribeswomen', 'woman', 'women', 'woman', 'women', 'women', 'girls', 'women', 'woman', 'woman', 'women', 'woman', 'women', 'girls', 'woman', 'woman', 'woman', 'woman', 'women', 'woman', 'woman', 'women', 'girl', 'woman', 'woman', 'girl', 'women', 'woman', 'woman', 'women', 'woman', 'woman', 'women', 'women', 'women', 'women', 'women', 'women', 'girl', 'woman', 'women', 'woman', 'women', 'woman', 'woman', 'girls', 'girls', 'woman', 'woman', 'girl', 'woman', 'women', 'woman', 'women', 'woman', 'girl', 'women', 'woman', 'woman', 'woman', 'women', 'women', 'woman', 'women', 'women', 'woman', 'woman', 'woman', 'woman', 'girl', 'girl', 'women', 'woman', 'women', 'women', 'women', 'women', 'woman', 'women', 'girl', 'woman', 'women', 'women', 'women', 'women', 'women', 'woman', 'girl', 'women', 'woman', 'women', 'woman', 'tribeswomen', 'women', 'women', 'woman', 'women', 'women', 'women', 'woman', 'woman', 'women']","[6412, 6413, 7455, 10087, 10447, 10452, 10457, 11913, 11920, 13499, 13506, 15345, 15622, 16182, 16190, 51500, 51707, 51728, 52028, 52046, 52118, 52140, 52159, 52231, 52444, 52766, 52827, 53172, 53237, 53363, 53386, 53407, 53462, 53527, 53650, 53746, 53809, 53872, 53934, 53946, 53968, 53989, 54063, 54192, 54370, 54387, 54402, 54492, 54496, 54656, 54719, 54757, 54864, 54920, 54998, 55098, 55174, 55184, 55206, 55274, 55296, 55303, 55311, 55327, 55334, 55670, 55901, 55936, 55976, 56004, 56045, 56149, 56154, 56327, 56456, 56569, 56580, 56625, 56661, 56708, 56885, 56915, 56951, 57086, 57210, 57353, 57456, 57647, 57722, 57749, 57754, 57818, 57858, 57889, 57893, 58012, 58127, 58132, 58150, 58158, 58185, 58255, 58344, 58386, 58477, 58861, 58956, 58997, 59015, 59076, 59213, 59218, 59517, 59619, 59703, 59833, 59984]"
44,gender assumed,Masculine,"['man', 'man', 'boys', 'man', 'boy', 'men', 'men', 'men', 'men', 'men', 'man', 'men', 'men', 'men', 'man', 'man', 'man', 'men', 'man', 'boys', 'man', 'boy', 'boy', 'man', 'man', 'men', 'Schoolboys', 'man', 'man', 'men and boys', 'men', 'man', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'boy', 'boys', 'man', 'man', 'man', 'men', 'men', 'men', 'man', 'men', 'male figures', 'men', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'man', 'man', 'men', 'men', 'man', 'man', 'men', 'men', 'man', 'boy', 'man', 'man', 'man', 'man', 'men', 'men', 'men', 'men', 'man', 'men', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'men', 'man', 'men', 'man', 'men', 'man', 'men', 'man', 'man', 'man', 'man', 'boy', 'man', 'man', 'men', 'men', 'man', 'man', 'men', 'men', 'man', 'man', 'man', 'boys', 'man', 'men', 'man', 'men', 'man', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'men', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'man', 'boy', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'man', 'boy', 'men', 'boys', 'man', 'man', 'man', 'man', 'men', 'men', 'man', 'men', 'men', 'men', 'men', 'boy', 'boy', 'man', 'boy', 'men', 'men', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'man', 'man', 'man', 'men', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'men', 'men', 'man', 'men', 'man', 'men', 'men', 'men', 'man', 'men', 'man', 'man', 'man', 'man', 'man', 'men', 'man', 'men', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'man', 'boy', 'man', 'man', 'man', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'men', 'men', 'men', 'men', 'men', 'boys', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'man', 'men', 'men', 'man', 'men', 'men', 'man', 'man', 'men', 'men', 'men', 'man', 'man', 'men', 'men', 'man', 'man', 'men', 'men', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'men', 'men', 'man', 'man', 'men', 'man', 'men', 'men', 'men', 'men', 'man', 'man', 'man', 'men', 'men', 'man', 'men', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'men', 'man', 'men', 'man', 'men', 'man', 'man', 'men', 'boys', 'men', 'man', 'man', 'men', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'man', 'man', 'men', 'man', 'men', 'man', 'men', 'men', 'men', 'man', 'men', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'man', 'man', 'man', 'men', 'man', 'men', 'man', 'men', 'man', 'men', 'men', 'man', 'men', 'men', 'men', 'man', 'men', 'man', 'his', 'his', 'man', 'him', 'man', 'men', 'man', 'man', 'man', 'man', 'men', 'man', 'men', 'man', 'men', 'men', 'men', 'men', 'men', 'man', 'men', 'cowboys', 'cowboys', 'men', 'man', 'men', 'man', 'man', 'men', 'men', 'man', 'man', 'man', 'men', 'man', 'men', 'man', 'man', 'men', 'cowboys', 'man', 'man', 'boys', 'man', 'man', 'man', 'man', 'men', 'man', 'boys', 'men', 'man', 'men', 'man', 'man', 'men', 'boys', 'man', 'men', 'boys', 'man', 'man', 'man', 'man', 'man', 'men', 'man', 'man', 'man', 'men', 'man', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'man', 'man', 'men', 'man', 'man', 'men', 'men', 'men', 'men', 'men', 'men', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'men', 'men', 'men', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'men', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'man', 'men', 'man', 'his', 'man', 'men', 'men', 'man', 'men', 'men', 'men', 'man', 'cowboys', 'man', 'men', 'men', 'men', 'men', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'his', 'men', 'cowboys', 'men', 'man', 'men', 'men', 'man', 'man', 'man', 'man', 'man', 'man', 'men', 'men', 'boys', 'boy', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'men', 'man', 'men', 'man', 'men', 'man', 'man', 'man', 'boys', 'man', 'man', 'man', 'men', 'man', 'men', 'men', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'man', 'men', 'man', 'man', 'men', 'men', 'man', 'man', 'him', 'men', 'men', 'boys', 'cowboys', 'men', 'men', 'men', 'man', 'cowboy', 'man', 'man', 'boys', 'men', 'man', 'man', 'his', 'men', 'man', 'men', 'boy', 'boy', 'man', 'man', 'men', 'man', 'man', 'man', 'men', 'men', 'men', 'man', 'men', 'men', 'man', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'men', 'men', 'man', 'man', 'man', 'his', 'men', 'man', 'man', 'men', 'boy', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'men', 'man', 'men', 'his', 'men', 'man', 'man', 'men', 'men', 'men', 'man', 'men', 'men', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'cowboy', 'men', 'man', 'man', 'cowboy', 'man', 'man', 'man', 'his', 'man', 'men', 'men', 'man', 'man', 'men', 'cowboys', 'men', 'men', 'men', 'man', 'men', 'men', 'man', 'men', 'men', 'man', 'man', 'men', 'men', 'boys', 'man', 'men', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'men', 'men', 'man', 'men', 'men', 'men', 'men', 'men', 'men', 'men', 'man', 'men', 'men', 'men', 'man', 'men', 'men', 'men', 'boys', 'men', 'man', 'men', 'men', 'man', 'men', 'man', 'his', 'men', 'man', 'man', 'men', 'men', 'cowboys', 'men', 'men', 'man', 'boys', 'man', 'man', 'man', 'men', 'men', 'men', 'man', 'man', 'man', 'men', 'man', 'man', 'his', 'man', 'man', 'man', 'man', 'man', 'man']","[14280, 14685, 15077, 15128, 15407, 15431, 15443, 15644, 15858, 15869, 16033, 16049, 16059, 16065, 16074, 16178, 16213, 16227, 16234, 17376, 26471, 26658, 26839, 50200, 50206, 50356, 50971, 51667, 51674, 51681, 51692, 51697, 51704, 51723, 51735, 51742, 51748, 51753, 51764, 51769, 51775, 51788, 51793, 51811, 51825, 51829, 51846, 51867, 51875, 51882, 51891, 51896, 51907, 51923, 51932, 51936, 51943, 51951, 51957, 51963, 52003, 52021, 52034, 52055, 52060, 52071, 52078, 52090, 52096, 52104, 52110, 52147, 52152, 52178, 52184, 52192, 52198, 52203, 52207, 52210, 52222, 52235, 52248, 52252, 52258, 52269, 52274, 52280, 52287, 52299, 52314, 52318, 52323, 52330, 52336, 52363, 52379, 52407, 52413, 52429, 52450, 52478, 52484, 52490, 52495, 52506, 52517, 52520, 52525, 52529, 52541, 52547, 52557, 52563, 52571, 52574, 52585, 52592, 52600, 52613, 52619, 52625, 52639, 52661, 52666, 52678, 52681, 52687, 52694, 52706, 52747, 52751, 52761, 52800, 52808, 52822, 52837, 52840, 52849, 52855, 52863, 52867, 52874, 52893, 52899, 52904, 52910, 52921, 52926, 52933, 52942, 52946, 52952, 52958, 52968, 52972, 52984, 52989, 53017, 53023, 53028, 53034, 53040, 53063, 53066, 53075, 53084, 53090, 53110, 53117, 53124, 53136, 53142, 53155, 53159, 53169, 53187, 53201, 53205, 53208, 53212, 53217, 53223, 53230, 53233, 53247, 53255, 53275, 53284, 53300, 53323, 53347, 53359, 53368, 53374, 53380, 53392, 53397, 53403, 53421, 53433, 53438, 53445, 53454, 53457, 53468, 53473, 53483, 53489, 53523, 53541, 53551, 53556, 53560, 53567, 53585, 53603, 53614, 53620, 53685, 53695, 53705, 53711, 53716, 53719, 53722, 53730, 53741, 53757, 53763, 53785, 53815, 53826, 53832, 53835, 53853, 53856, 53860, 53864, 53868, 53877, 53891, 53898, 53920, 53925, 53930, 53950, 53955, 53963, 53982, 53985, 53997, 54003, 54009, 54015, 54022, 54052, 54082, 54085, 54089, 54095, 54110, 54118, 54129, 54161, 54166, 54198, 54202, 54216, 54228, 54233, 54238, 54242, 54254, 54277, 54297, 54307, 54316, 54320, 54340, 54342, 54347, 54352, 54365, 54377, 54383, 54397, 54407, 54431, 54437, 54443, 54448, 54455, 54467, 54484, 54501, 54506, 54511, 54521, 54526, 54534, 54539, 54544, 54595, 54600, 54616, 54641, 54647, 54652, 54663, 54668, 54674, 54684, 54734, 54752, 54761, 54765, 54793, 54798, 54802, 54807, 54830, 54834, 54840, 54854, 54860, 54890, 54900, 54913, 54926, 54948, 54955, 54961, 54980, 54989, 54994, 55003, 55018, 55024, 55032, 55038, 55043, 55048, 55057, 55064, 55070, 55093, 55118, 55133, 55138, 55150, 55172, 55179, 55190, 55199, 55211, 55217, 55229, 55243, 55249, 55262, 55269, 55322, 55516, 55529, 55540, 55545, 55555, 55582, 55588, 55593, 55605, 55611, 55638, 55646, 55651, 55656, 55660, 55665, 55697, 55707, 55712, 55717, 55753, 55764, 55769, 55778, 55783, 55787, 55792, 55797, 55817, 55823, 55838, 55843, 55848, 55857, 55882, 55906, 55911, 55915, 55921, 55926, 55931, 55959, 55963, 55972, 55995, 56015, 56020, 56029, 56035, 56060, 56065, 56067, 56086, 56093, 56100, 56106, 56111, 56116, 56121, 56126, 56132, 56144, 56162, 56171, 56175, 56186, 56195, 56208, 56213, 56218, 56222, 56227, 56243, 56270, 56276, 56281, 56288, 56293, 56311, 56316, 56323, 56332, 56339, 56359, 56364, 56369, 56374, 56378, 56383, 56388, 56393, 56398, 56403, 56408, 56414, 56419, 56424, 56444, 56452, 56462, 56480, 56485, 56491, 56521, 56524, 56529, 56584, 56589, 56597, 56602, 56610, 56629, 56642, 56647, 56652, 56703, 56713, 56718, 56741, 56749, 56758, 56779, 56784, 56789, 56794, 56799, 56806, 56811, 56816, 56849, 56854, 56871, 56877, 56896, 56901, 56932, 56942, 56966, 56972, 56977, 56981, 56991, 57008, 57014, 57029, 57034, 57044, 57081, 57128, 57136, 57142, 57147, 57152, 57157, 57175, 57180, 57191, 57204, 57216, 57234, 57252, 57257, 57263, 57268, 57287, 57292, 57299, 57310, 57315, 57323, 57328, 57333, 57336, 57341, 57347, 57370, 57388, 57405, 57420, 57425, 57435, 57462, 57467, 57472, 57479, 57484, 57489, 57495, 57500, 57505, 57517, 57523, 57535, 57543, 57547, 57552, 57561, 57564, 57572, 57575, 57581, 57586, 57593, 57600, 57607, 57616, 57637, 57642, 57657, 57662, 57667, 57674, 57684, 57702, 57710, 57728, 57781, 57786, 57791, 57796, 57803, 57809, 57813, 57841, 57847, 57869, 57874, 57897, 57902, 57910, 57915, 57922, 57948, 57953, 57958, 57972, 57976, 57981, 57992, 57997, 58002, 58007, 58017, 58026, 58031, 58036, 58041, 58051, 58082, 58087, 58092, 58095, 58108, 58112, 58117, 58122, 58145, 58181, 58190, 58219, 58238, 58243, 58251, 58268, 58273, 58290, 58296, 58308, 58324, 58329, 58334, 58339, 58350, 58355, 58375, 58382, 58392, 58397, 58402, 58407, 58414, 58419, 58424, 58428, 58436, 58441, 58462, 58467, 58472, 58482, 58499, 58504, 58511, 58516, 58535, 58549, 58561, 58565, 58567, 58601, 58606, 58614, 58617, 58652, 58660, 58665, 58677, 58682, 58689, 58694, 58699, 58709, 58714, 58730, 58760, 58765, 58783, 58795, 58807, 58820, 58825, 58837, 58843, 58847, 58852, 58856, 58889, 58896, 58915, 58920, 58936, 58943, 58948, 58960, 58981, 59020, 59025, 59031, 59036, 59041, 59045, 59050, 59055, 59081, 59092, 59100, 59105, 59112, 59125, 59128, 59133, 59139, 59152, 59170, 59180, 59185, 59192, 59204, 59223, 59231, 59236, 59240, 59247, 59259, 59280, 59285, 59294, 59299, 59310, 59315, 59319, 59328, 59333, 59342, 59346, 59361, 59375, 59398, 59404, 59410, 59416, 59421, 59431, 59449, 59489, 59502, 59506, 59513, 59527, 59532, 59537, 59545, 59551, 59557, 59563, 59587, 59597, 59605, 59610, 59615, 59652, 59667, 59675, 59685, 59690, 59695, 59698, 59708, 59739, 59800, 59811, 59816, 59823, 59828, 59838, 59845, 59856, 59861, 59866, 59871, 59876, 59899, 59905, 59942, 59958, 59963, 59980, 59992, 60005, 60008, 60013, 60028, 60037, 60055, 60064, 60085]"
45,gender assumed,Multiple,"['female', 'men and women', 'mother', 'father', 'female', 'her', 'her', 'her']","[25423, 52008, 52385, 52388, 52552, 57356, 57861, 59226]"
46,gender assumed,Unclear,"['Men', 'Pan Women', 'Man', 'Man', 'Negrette', 'Men', 'Man', 'Men', 'Man', 'Milkmen', 'Men', 'Women', 'Women', 'Woman', 'Men', 'Men', 'Men', 'Women', 'Man', 'Women', 'Girl', 'Man', 'Women', 'Man', 'Man', 'Men', 'Man', 'Girl', 'Man', 'Men', 'Tribesman', 'Man', 'Woman', 'Women', 'Man', 'Women', 'Women', 'Woman', 'Man', 'Woman', 'Ladies', 'Woman', 'Man', 'Man', 'Tribesmen', 'Men', 'Man', 'Women', 'Man', 'Man', 'son', 'tribesman', 'tribesman', 'Englishmen', 'policeman', 'Men', 'tribesmen', 'Men', 'policemen', 'Girl', 'Men']","[50286, 50316, 50389, 50473, 50480, 50597, 50602, 50633, 50641, 50686, 50695, 50735, 50738, 50759, 50766, 50772, 50784, 50788, 50795, 50839, 50845, 50864, 50896, 50951, 50976, 50993, 51014, 51050, 51107, 51113, 51124, 51128, 51132, 51139, 51144, 51162, 51256, 51261, 51265, 51274, 51304, 51337, 51342, 51423, 51489, 51579, 51622, 51628, 51632, 51655, 52391, 53909, 54474, 55598, 56040, 56166, 57621, 58099, 58596, 59672, 59974]"
47,gendered language noted by archivist,Masculine,"[""The certificate was designed for a male student and the word 'he' has not been amended"", 'The certificate had been designed for a male student, and Mr has been overwritten with Miss', ""The certificate was designed for a male student, and 'He' has been corrected to 'She'""]","[28590, 28596, 28603]"
48,gendered language noted by archivist,Multiple,"[""In addition there are 17 examples of the Second Class Certificate of Merit issued by the University (Faculty of Medicine) indicating that SUSAN Binnie had 'acquitted himself' as a member of class between 1916 and 1921""]",[13558]
49,general - man listed as active party and woman as passive,Feminine,['John Baillie met Florence Jewel Fowler'],[3472]
50,"graduates described as ""girls"" instead of ""women""",Feminine,['girl'],[25439]
51,high reputation of man for his work,Masculine,"['World renowned', 'considered to be one of the leading chemists']","[41666, 44398]"
52,honor or achievement by man,Masculine,"['being presented with the award', 'earned him from King Charles the degree of D.D.', 'his discoveries and theories', 'His efforts returned hundreds of men to the Continental Army at a critical moment']","[37507, 48581, 77348, 77422]"
53,honor or achievement by man,Multiple,"['was one of the Founding Fathers', 'was also one of the Founding Fathers']","[77315, 77374]"
54,honor or achievement by man,Unclear,"['First Class Honours', 'Member', 'honorary consultant clinical neurophysiologist', 'Fellow', 'Fellow', 'Fellow', 'Honorary Neurophysiological Specialist', 'honorary degree of D.D.', 'He invented', 'He facilitated many civic organizations', 'founder of Dickinson College', 'He studied', 'He served as', 'He studied at', 'He had also studied at']","[48480, 48490, 48504, 48507, 48515, 48519, 48543, 49117, 77351, 77355, 77388, 77392, 77397, 77412, 77415]"
55,honor or achievement held by man,Masculine,"['Knighthood', 'knighthood', 'Knighthood', 'Honorary secretary', 'knighthood', 'Royal Arch Mason', 'awarded the declaration of the Third Class of the Order of Polonia Restituta', 'Honorary Fellow of the Educational Institute of Scotland', 'foreign honorary member of the American Academy of Arts and Sciences', 'honorary member', 'Foreign Associate of the National Academy of Sciences of the United States of America', 'fellow', 'Honorary Fellowship of the British Psychological Society', 'Rector Emeritus', 'honorary fellow', 'Knighthood', 'knighthood', 'elected Fellow of the Royal College of Physicians', 'became President', 'member of the International Academy of the History of Science', 'Honorary Guest Member of Generation Science Club', 'elected Fellow of the Royal College of Physicians', 'academic honours', 'knighthood', 'member of the Royal Medical Society of Edinburgh', 'Fellow of the Royal Medical Society', 'Fellow of the Royal Society of Edinburgh', 'awarded with an OBE', 'Honorary Doctorate', 'Fellow of the British Academy', 'Fellow of the Royal Historical Society', 'Honorary Fellow of the Faculty of Actuaries', 'Emeritus Professor of Economic History', 'Senior Lalor Fellowship', 'PhD', 'PhD', 'Beatty was co-chairman', 'Fellowship', 'Senior Lalor Fellow', 'PhD', 'Nobel Prize in Physiology or Medicine', 'Stapledon scholar', 'chairs', 'member', 'President', 'honorary degree', 'Companion of the Order of the Bath', 'Civil Knight Commander of the Bath', 'Fellow of the Royal Society', 'the sole editor', 'became a member', 'became a member', 'was sometime president', 'won the Guy Medal in Gold', 'was sometime president', 'won the Guy Medal in Gold']","[35577, 35585, 35599, 35788, 35956, 35971, 35982, 35990, 35995, 36000, 36005, 36010, 36019, 36074, 37804, 39618, 39629, 41369, 41374, 41702, 43893, 44322, 44564, 44565, 44852, 44856, 44909, 44911, 44915, 44917, 44919, 44921, 44927, 46190, 46305, 46317, 46319, 46338, 46508, 46518, 46528, 46644, 46859, 46876, 46878, 49766, 49770, 49774, 61388, 61406, 61411, 61421, 61489, 61493, 61512, 61516]"
56,honor or achievement held by man,Multiple,['published'],[61395]
57,"honor or achievement held by man (""that body"" referring to the royal college of physicians)",Masculine,['He became President of that body'],[44327]
